"","Month.Created","Date.Created","Time.Created","Syncing.Date","Latitude","Longitude","ParentCode","AnswerCode","RegionName","ProjectName","UserName","FormName","SpeciesName","WardLocation","GpsDeleted","region","cause","dimensions","severity","status","vet.score","owner.score","vet.initials","lesion.photo","comments","Month.Created.x","Date.Created.x","Time.Created.x","Syncing.Date.x","Latitude.x","Longitude.x","RegionName.x","ProjectName.x","UserName.x","FormName.x","SpeciesName.x","WardLocation.x","GpsDeleted.x","ownerID","gender","age","primary.work.type","working_hours.x","working_days","stress.hours.x","rest.periods","presentation.reason","other.presentation.description","health.issues","other.illness.description","BCS","coat.condition","demenour","hydration.status","ocular.disch.status","nasal.disch.status","vulva.penile.disch","ecto.status","diarrhoea.status","cheek.palp.status","cheek.palp.description","heat.stroke.status","lesion.status","tx.given","Lesion.form","comments.x","lameness.status","lameness.severity","secondary.purpose","health.status","discharge_definition","Month.Created.y","Date.Created.y","Time.Created.y","Syncing.Date.y","Latitude.y","Longitude.y","AnswerCode.y","RegionName.y","ProjectName.y","UserName.y","FormName.y","SpeciesName.y","WardLocation.y","GpsDeleted.y","consent.status","owner_gender","total.donkeys.owned","reason.for.coming","number.vaccs","number.worming","number.castration","sex.donkeys.owned","male.total.owned","female.total.owned","individual.donkey.form.status","individual.form.number","comments.y","owner.village","total.number.owned","owner_age","primary_work_type","secondary_work","working_hours.y","days.per.week.worked","stress.hours.y","rest_period_number"
"1","Apr","25/04/2017","7:58 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-240417100931-86-3","D-250417075831-86-1","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","4 shoulder","bite","1.5cm","superficial","exudative","1 minor","1 minor","A","parentAnimalId_animalId_1493087401886.jpg",NA,"Apr","24/04/2017","10:09 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","stallion","3y to 10y","pack","4h to 8h",1,"no","1hour","worming,tx","","wounds","",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417075831-86-1,D-250417080134-86-2","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"2","Apr","25/04/2017","8:01 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-240417100931-86-3","D-250417080134-86-2","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","7 legs","restraint","3cm","superficial","scar","1 minor","1 minor","A","parentAnimalId_animalId_1493087580109.jpg",NA,"Apr","24/04/2017","10:09 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","stallion","3y to 10y","pack","4h to 8h",1,"no","1hour","worming,tx","","wounds","",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417075831-86-1,D-250417080134-86-2","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"3","Apr","25/04/2017","8:08 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417080010-86-2","D-250417080835-86-3","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","5 midsection","bite","2","alopecia","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493088002151.jpg",NA,"Apr","25/04/2017","8:00 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","stallion","3y to 10y","pack","4h to 8h",1,"no","1","worming","","lameness,worms","",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417080835-86-3","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"4","Apr","25/04/2017","8:14 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417081011-86-3","D-250417081403-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","6 hindquarters","harness","5","superficial","bleeding","2 slight concern","3 concerning","A","parentAnimalId_animalId_1493088358570.jpg",NA,"Apr","25/04/2017","8:10 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","3y to 10y","pack","4h to 8h",1,"no","1","worming,other","","wounds","",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417081403-86-4","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"5","Apr","25/04/2017","8:19 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417081603-86-4","D-250417081956-86-5","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","1 muzzle","mutilation(nose split)","3","mutilation","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493088704626.jpg",NA,"Apr","25/04/2017","8:16 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","3y to 10y","pack","less than 4h",1,"no","1","worming","","other","mutilation",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417081956-86-5","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"6","Apr","25/04/2017","8:25 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417082151-86-5","D-250417082519-86-6","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","1 muzzle","mutilation(ear split)","3","mutilation","scar","1 minor","1 minor","A","parentAnimalId_animalId_1493088993589.jpg",NA,"Apr","25/04/2017","8:21 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","3y to 10y","pack","4h to 8h",1,"no","1","worming","","other","mutilation",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417082519-86-6,D-250417082636-86-7","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"7","Apr","25/04/2017","8:26 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417082151-86-5","D-250417082636-86-7","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","1 muzzle","mutilation(nose split)","5","mutilation","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493089037357.jpg",NA,"Apr","25/04/2017","8:21 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","3y to 10y","pack","4h to 8h",1,"no","1","worming","","other","mutilation",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417082519-86-6,D-250417082636-86-7","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"8","Apr","25/04/2017","8:29 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417082723-86-6","D-250417082956-86-8","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","1 muzzle","mutilation(nose split)","5","mutilation","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493089236516.jpg",NA,"Apr","25/04/2017","8:27 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","6m to 3y","pack","4h to 8h",1,"no","1","worming","","other","healthy",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417082956-86-8,D-250417083043-86-9,D-250417083246-86-10","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"9","Apr","25/04/2017","8:30 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417082723-86-6","D-250417083043-86-9","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","2 head","mutilation(nose split)","5","mutilation","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493089359683.jpg",NA,"Apr","25/04/2017","8:27 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","6m to 3y","pack","4h to 8h",1,"no","1","worming","","other","healthy",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417082956-86-8,D-250417083043-86-9,D-250417083246-86-10","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
"10","Apr","25/04/2017","8:32 AM","25/04/2017 06:31",11.3749928,76.7570594,"E-250417082723-86-6","D-250417083246-86-10","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey lesion form","Donkey","ooty","No","5 midsection","other(reaction to wet blanket)","30x30cm","alopecia","scar","1 minor","1 minor","a","parentAnimalId_animalId_1493089448904.jpg",NA,"Apr","25/04/2017","8:27 AM","25/04/2017 06:31",11.3749928,76.7570594,"Nilgiris","ITC Donkey Clinics","EmmaRayner","Equine assessment form 1","Donkey","ooty","No","1","mare","6m to 3y","pack","4h to 8h",1,"no","1","worming","","other","healthy",3,"healthy","alert","normal","no occ","no nasal","no vulvpen disch","absent","no diarr","cheek norm",NA,"no heat stroke","yes lesions","ivermec","D-250417082956-86-8,D-250417083043-86-9,D-250417083246-86-10","","not lame","",NA,NA,NA,"Apr","24/04/2017","10:03 AM","25/04/2017 06:31",11.3749928,76.7570594,"D-240417100315-86-4","Nilgiris","ITC Donkey Clinics","EmmaRayner","Donkey clinic records 1","Donkey","ooty","No","consent given","male",48,"worming,treatment,other(study)",NA,40,NA,"male,female",10,38,"yes",5,NA," Mutharapalada",NA,NA,NA,NA,NA,NA,NA,NA
