Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,ownerID,gender,age,primary work type,presentation reason,other presentation description,BCS,coat condition,demenour,hydration status,ecto status,diarrhoea status,cheek palp status,cheek palp description,lesion status,tx given,Lesion form,comments,lameness severity,health status,health issues,discharge_definition
May,23/05/2017,9:48 AM,03/06/2017 19:12,8.42606066,77.9704341,E-230517094803-86-1,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,3y to 10y,draft,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,"D-230517095254-86-91,D-010617164254-86-92",,,healthy,,
Jun,01/06/2017,4:44 PM,03/06/2017 19:12,8.42602205,77.9704345,E-010617164419-86-2,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,3y to 10y,pack,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,D-010617164446-86-93,,,healthy,,
Jun,01/06/2017,4:45 PM,03/06/2017 19:12,8.42602773,77.97042033,E-010617164509-86-3,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,6m to 3y,pack,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,01/06/2017,4:45 PM,03/06/2017 19:12,8.42602509,77.97041174,E-010617164548-86-4,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,3y to 10y,pack,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,01/06/2017,4:46 PM,03/06/2017 19:12,8.42602582,77.97041368,E-010617164623-86-5,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,6m to 3y,draft,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,01/06/2017,4:47 PM,03/06/2017 19:12,8.42604187,77.97034998,E-010617164710-86-6,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,50,stallion,6m to 3y,draft,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,01/06/2017,4:47 PM,03/06/2017 19:12,8.41964755,77.99781295,E-010617164731-86-7,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,6m to 3y,draft,tx,,2,unhealthy,depressed,mild,,no diarr,,,yes lesions,"NSAIDs,other(liq paraffin)",D-010617173636-86-94,,,unhealthy,nutritional_deficiency,
Jun,01/06/2017,5:37 PM,03/06/2017 19:12,8.41965282,77.99780817,E-010617173710-86-8,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,6m to 3y,pack,tx,,2,unhealthy,depressed,normal,absent,no diarr,,,yes lesions,ivermec,D-010617173811-86-95,,,unhealthy,"wounds,skin_dz",
Jun,01/06/2017,5:38 PM,03/06/2017 19:12,8.41970009,77.99782917,E-010617173849-86-9,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,6m to 3y,pack,tx,,3,healthy,alert,normal,,no diarr,,,yes lesions,"antibiotic,NSAIDs",D-010617173930-86-96,,severe,unhealthy,"wounds,lame",
Jun,01/06/2017,5:40 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617174021-86-10,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:23 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617212339-86-11,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,3y to 10y,pack,other,na,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
