sep=,
Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,consent status,owner_gender,total donkeys owned,reason for coming,number vaccs,number worming,number castration,individual donkey form status,individual form number,ownerID number,comments,owner village,owner_age,primary_work_type,secondary_work,working_hours,days per week worked,stress hours,rest_period_number
May,23/05/17,09:51 AM,03/06/17 07:12 PM,8.42602746,77.97038098,O-230517095125-86-2,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,6,worming,,6,,yes,0,050,,shanmughapuram,32,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,04:41 PM,03/06/17 07:12 PM,8.4199687,77.9977381,O-010617164146-86-2,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,2,051,,udankudi,50,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,05:33 PM,03/06/17 07:12 PM,8.41964033,77.99781302,O-010617173301-86-3,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,treatment,,,,yes,1,052,,shanmughapuram,35,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,05:34 PM,03/06/17 07:12 PM,8.4687056,78.04065102,O-010617173455-86-4,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,056,5F+5M,thandapathu,30,pack,pack,4 to 8 hours,2,yes_stress_hours,4
Jun,01/06/17,06:29 PM,03/06/17 07:12 PM,8.42674575,78.03193916,O-010617182916-86-5,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,053,,meyoor,30,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:44 PM,03/06/17 07:12 PM,8.42676549,78.03202498,O-010617184426-86-6,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,054,,meyoor,45,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:45 PM,03/06/17 07:12 PM,8.42676636,78.03203221,O-010617184517-86-7,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,055,,meyoor,52,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:46 PM,03/06/17 07:12 PM,8.40842463,77.97363068,O-010617184617-86-8,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,worming,,9,,yes,0,057,10F,anbinagaram,60,pack,other(breeding),less than 4,1,no_stress_hours,6
Jun,02/06/17,10:43 AM,03/06/17 07:12 PM,8.41912029,77.99775911,O-020617104309-86-9,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,27,other(study),,,,yes,0,058,,kuttampuli,65,pack,pack,4 to 8 hours,2,no_stress_hours,6
Jun,02/06/17,01:02 PM,03/06/17 07:12 PM,8.7051087,78.05107564,O-020617130229-86-10,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,15,other(study),,,,yes,00,059,,thangamalpuram,38,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,02/06/17,01:16 PM,03/06/17 07:12 PM,8.61205698,78.06302796,O-020617131614-86-11,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,5,other(study),,,,yes,00,060,,marunthalai,24,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,02:12 PM,03/06/17 07:12 PM,8.61207609,78.06303192,O-020617141231-86-12,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,15,other(study),,,,yes,00,061,,thangamalpuram,35,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,02:14 PM,03/06/17 07:12 PM,8.62953302,77.91890432,O-020617141409-86-13,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,20,other(study),,,,yes,00,062,12M+8F,siruvaikundam,51,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,04:09 PM,03/06/17 07:12 PM,8.41309595,77.99998528,O-020617160952-86-14,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,17,"treatment,other(study)",,,,yes,02,063,,gandhinagar,38,pack,pack,4 to 8 hours,3,yes_stress_hours,4
